name,slug,bucket,why,detail,sector,status,url
Electra,go-electra,undisclosed,api-listed-no-contract,,climate-tech,active,https://www.go-electra.com/
Elium,elium,programmable,contract-and-agent-surface,,saas,exited,https://www.elium.com/
Emmi AI,emmi-ai,none,none:no-developer-program,"Emmi AI ships an open-source Python framework (emmiai-noether) and a CLI that run on the customer's own CPU/GPU/SLURM hardware - there is no hosted service and no API: no api./app./platform./console./mcp. host resolves under emmi.ai, and every contract-discovery probe (openapi.json, agent-card.json, agent.json, every /.well-known/ path on both emmi.ai and noether-docs.emmi.ai) returned 404 or NXDOMAIN.",ai-data,acquired,https://www.emmi.ai/
Evaneos,evaneos,undisclosed,gated:sales-gate,"The only API Evaneos markets is a partner/affiliate product-feed API offered on request via partner.evaneos.net (""we can provide an API with multiple product feed options""), with no reference, no spec and no developer portal — developer.evaneos.com and docs.evaneos.com do not resolve, and www.evaneos.com/openapi.json returns 404.",consumer,active,http://www.evaneos.com/
Finalcad,finalcad,programmable,published-contract,,saas,acquired,http://www.finalcad.com/
Fipto,fipto,programmable,published-contract,,blockchain,active,https://fipto.com
Formality,formality,programmable,published-contract,,ai-data,active,https://www.formality.com/
Full Speed Automation,vitesse,none,none:no-developer-program,"Vitesse ships its physical-AI automation platform only as an end-user product — a login-gated React application at app.vitesse.dev plus on-premise edge controllers — and its eight-URL sitemap contains no docs, API, developer or pricing page at all; the two product backends found in the app bundle (fleet.vitesse.dev, conversations.vitesse.dev) publish no specification and return the identical status for a nonsense control path as for every real one, so no developer API is marketed, documented, or provably present.",unknown,active,https://www.vitesseautomation.com/
Goodvest,goodvest,none,none:no-developer-program,"Goodvest ships only end-user web and mobile clients; its private gunicorn backend at api.goodvest.fr returns 404 at the root and on every OpenAPI, GraphQL, MCP and /.well-known/ path probed, and the 802-URL public sitemap contains no developer, reference or API page at all.",climate-tech,active,https://www.goodvest.fr/
H,h-company,programmable,published-contract,,unknown,active,https://hcompany.ai/
Habiteo,habiteo,programmable,published-contract,,saas,acquired,https://www.habiteo.com/
Helios,helios,none,none:no-developer-program,"helios is a consumer neobank that ships only an end-user mobile and web banking app — it publishes no developer portal, API reference, SDK or webhook surface, and as a payment services agent of OKALI (REGAFI 731225) it exposes no PSD2 dedicated interface of its own; /openapi.json, /graphql, /mcp, /api and every /.well-known/ path return a real 404 on www.helios.do (a nonsense control path also 404s, so these are not soft-404s), and certificate-transparency enumeration of *.helios.do lists app, backoffice, blog, email, go, help and meta but no api.* host of any kind.",climate-tech,acquired,https://www.helios.do/
Heuritech,heuritech,programmable,contract-and-agent-surface,,ai-data,active,http://heuritech.com/
Hull,hull,programmable,contract-and-agent-surface,,ai-data,acquired,https://www.hull.io/
iBanFirst,ibanfirst,programmable,contract-and-agent-surface,,fintech-insurtech,acquired,https://www.ibanfirst.com/
iContainers,icontainers,programmable,published-contract,,marketplace,acquired,https://www.icontainers.com/
Implicity,implicity,undisclosed,gated:sales-gate,"Implicity's IT-teams page advertises a ""comprehensive API and integration framework for seamless data exchange with core hospital systems"" but publishes no reference for it — the only route to it is the Request-a-Demo form, and the live API host api.implicity.com answers a bare text/plain ""Not Found"" on all 21 paths probed, including /openapi.json, /graphql, /metadata and /.well-known/smart-configuration.",healthtech,active,https://www.implicity.com/
Inato,inato,none,none:no-developer-program,"Inato ships software only as an end-user web application at marketplace.inato.com; api.inato.com, developer.inato.com and docs.inato.com have no DNS record at all, and the only machine-to-machine documentation on its support host describes the calls Inato makes INTO CRIO's and eClinPro's APIs rather than any API of its own.",ai-data,active,http://www.inato.com/
Jam.gg,jam-gg,none,none:defunct,"Jam.gg never shipped an HTTP API, and the company is now listed Inactive by Y Combinator — its own web property cannot complete a TLS handshake on either host (jam.gg answers the ClientHello with TLS alert 80 internal_error from Netlify/AWS Global Accelerator, www.jam.gg answers with alert 40 handshake_failure from the Webflow proxy), piepacker.com has left DNS, and no api/docs/developers subdomain resolves, so the only reachable artifacts are the first-party SDK repositories on GitHub.",gaming,acquired,https://jam.gg/fr
Jimmy,jimmy,none,none:not-a-software-company,"Jimmy manufactures and operates nuclear high-temperature thermal generators and sells industrial heat on 20-year contracts, so there is nothing to expose as an API — api., docs. and developer.jimmy-energy.eu do not resolve in DNS and the Webflow marketing site 404s on every spec and /.well-known/ path probed.",climate-tech,active,https://www.jimmy-energy.eu/
Joy (ex-Privateaser),joy-io,none,none:no-developer-program,"Joy ships software only as an end-user product — a manager web/mobile app plus a hosted booking widget — and publishes no developer portal, API reference, OpenAPI, webhook catalogue or SDK; the private backend its own app calls, manager-api.privateaser.com (read from https://app.joy.io/config.js), returns HTTP 404 on /openapi.json and every other spec path and is gated by an AWS Cognito user pool, and the 90-article help-center index at faq.joy.io/llms.txt never uses the word ""api"".",marketplace,active,https://www.joy.io/
Kardinal,kardinal,programmable,published-contract,,saas,active,https://kardinal.ai/
kelvin,kelvin,programmable,contract-and-agent-surface,,climate-tech,active,https://www.go-kelvin.com/
Kili Technology,kili-technology,programmable,published-contract,,ai-data,active,https://kili-technology.com/
Kiute,kiute,none,none:defunct,"Kiute was acquired by Booksy on 2021-11-09 and the brand is fully retired — every path on every Kiute host returns a blanket HTTP 301 to booksy.com or biz.booksy.com, no api/docs/ developers subdomain resolves, and the wildcard TLS certificate on www.kiute.com expired on 2026-08-13 and is being served unrenewed.",marketplace,acquired,https://www.kiute.com/
Klarys,klarys,undisclosed,gated:customer-only-docs,"Klarys runs a Django REST Framework API with a live OpenAPI schema endpoint, but https://klarys.app/api/schema/?format=json answers HTTP 401 {""code"":1003,""error"":""User is unauthenticated""} with Content-Type application/vnd.oai.openapi+json — the spec is real and served only to an authenticated tenant, and there is no developer portal, API reference or pricing page anywhere on www.klarys.io (all 134 sitemap URLs walked).",saas,active,https://www.klarys.io/
Kleio,kleio,undisclosed,gated:sales-gate,"Kleio runs a real OAuth-protected platform API at api.kleio.ai — its Google Cloud API Gateway serves RFC 8414 authorization-server metadata naming an Auth0 issuer and a defined dynamic client registration route — but publishes no developer portal, API reference, OpenAPI or auth guide anywhere, and kleio.ai/pricing and kleio.ai/docs both 404, so the only route to the API is the ""Request a Demo"" form at kleio.ai/contact.",ai-data,active,https://www.kleio.ai/
Kotcha,kotcha,none,none:no-developer-program,"Kotcha is a consumer iOS/Android running-coach subscription from PACEUP SAS with no developer program at all — the marketing site has no /docs, /developers or /api route, api.kotcha.com and developer.kotcha.com are NXDOMAIN, and its Terms & Conditions section 6 explicitly prohibit ""accessing services through unauthorized means or automated methods"".",sporttech,active,https://www.kotcha.com/
Kotzilla,kotzilla,programmable,agent-surface-only,,ai-data,active,https://kotzilla.io/
Koyeb,koyeb,programmable,published-contract,,infrastructure,acquired,https://www.koyeb.com/
LaFourchette,lafourchette,programmable,published-contract,,consumer,acquired,http://www.lafourchette.com/
Launchmetrics,launchmetrics,undisclosed,api-listed-no-contract,,saas,exited,https://launchmetrics.com/
Lengow,lengow,programmable,published-contract,,saas,acquired,http://www.lengow.fr/
Leonardo.ai,leonardo-ai,programmable,published-contract,,ai-data,acquired,https://leonardo.ai/
Lifen,lifen,programmable,published-contract,,ai-data,active,https://www.lifen.fr/
Lokki,lokki,programmable,published-contract,,climate-tech,active,https://www.lokki.rent/
Malt,malt,programmable,contract-and-agent-surface,,marketplace,active,https://www.malt.fr/
May,may,none,none:no-developer-program,"May is a direct-to-consumer mobile health app for parents — the whole public surface is a 51-page WordPress marketing site in three locales plus a seven-collection Intercom help center whose only partner-facing section routes health professionals, press and partnerships to an email conversation, and the sole backend hostname in the company's public DNS (capig.may.app, found in certificate-transparency logs) is a dangling CNAME to a deleted AWS Kubernetes ingress load balancer in eu-west-3.",edtech,active,https://may-sante.com/
Melty,melty,undisclosed,unreadable:no-machine-readable-spec,"melty.fr is a WordPress consumer media site with no developer portal at all, and the only two documented HTTP APIs the company ever published — the self-hosted Kisee and Pasee identity servers on readthedocs — ship no OpenAPI, AsyncAPI, GraphQL SDL, Postman collection or JSON Schema in any of the 7 meltygroup GitHub repositories.",consumer,acquired,http://www.melty.fr/
Memo Bank,memo-bank,programmable,published-contract,,fintech-insurtech,active,https://memo.bank/
Metrobloks,metrobloks,none,none:not-a-software-company,"Metrobloks sells physical data-center capacity — halls, power, cooling and fiber cross-connects in seven metros — not software: its 54-URL Webflow sitemap contains no developer, API, docs, portal or login page at all, the ""Self-Perform Interconnect"" on its interconnection page is a customer pulling their own fiber rather than a software surface, and every /.well-known/* path returns a static ""Invalid .well-known request"" 404.",unknown,active,https://metrobloks.com
Mindee,mindee,programmable,published-contract,,ai-data,active,https://mindee.com/
MONI (Ex-Monisnap),monisnap,undisclosed,gated:sales-gate,"MONI markets a B2B ""Moni-as-a-Service"" remittance-as-a-service platform that Nickel and Bnext already embed, but ships it entirely through direct sales — there is no developer portal to gate: api., docs., developer., developers. and sandbox.monisnap.com all NXDOMAIN, and every /.well-known/ discovery path on the two live hosts 404s.",fintech-insurtech,active,https://www.monisnap.com/fr/
Naftiko,naftiko,unmeasured,never-enriched,,ai-data,active,https://naftiko.io/
Norbert Health,norbert-health,none,none:no-developer-program,"Norbert Health's entire public web presence is three pages (/, /about, /privacy-policy) with a ""Book a demo"" mailto as its only call to action; the sole API host, api.norberthealth.com, is a private AWS API Gateway backing the NORBERT Health Android app that answers HTTP 403 {""message"":""Forbidden""} on every path including the root.",healthtech,active,https://www.norberthealth.com/
Odaseva,odaseva,undisclosed,gated:customer-only-docs,"Odaseva ships a real, versioned Platform API — the first-party odaseva-cli binary is a REST client for it and exposes an --apiVersion selector — but every path on its host api.odaseva.com answers a Salesforce My Domain 401 login challenge, and the reference that would describe it lives only in the customer knowledge base behind platform.odaseva.com/CBR; there is no developer subdomain at all (docs., developer., api-docs. and ten other candidates are NXDOMAIN) and the 376-URL sitemap contains no API, developer or documentation URL.",ai-data,active,https://www.odaseva.com/
Onibi,onibi,none,none:no-developer-program,"Onibi is a pre-release consumer game studio whose entire web presence is three static pages (Studio, Career, Contact) plus a nine-language marketing site for the unreleased Tomo: Endless Blue — the Steam page promises the game will be moddable but no modding API, SDK or developer documentation exists yet, and the only HTTP API on any Onibi host is /api/ on the product site, which its own robots.txt disallows; onibi.gg answers HTTP 200 with the same 43KB homepage for /openapi.json and every other probed path, so its 200s are soft-404s, while tomoendlessblue.com returns real 404s for all of them.",unknown,active,http://onibi.gg/
Opsmill,opsmill,programmable,published-contract,,ai-data,active,https://www.opsmill.com/
PandaScore,pandascore,programmable,published-contract,,ai-data,active,https://pandascore.co/welcome
Pelico,pelico,undisclosed,gated:sales-gate,"Pelico's platform page markets ""APIs to ingest new data sources and push actions into existing enterprise systems"", but there is no reference behind it — /docs, /developers, /api-docs and /pricing all 404, every conventional API subdomain (api, docs, developers, app, mcp) under pelico.ai is NXDOMAIN, and the 172-URL sitemap routes every API question to the /contact form.",ai-data,active,https://www.pelico.ai/
Pixeltable,pixeltable,programmable,agent-surface-only,,ai-data,active,https://www.pixeltable.com/
Polaron,polaron,undisclosed,gated:customer-only-docs,"Polaron ships no developer surface at all on its marketing site — the 22-URL sitemap has no /developers, /docs or /pricing entry — and the product's own backend at https://app.polaron.ai/api/ answers every path, including /api/openapi.json and /api/docs, with a blanket HTTP 401 {""detail"":""Unauthorized""}, so the contract is reachable only with an active tenant account.",ai-data,active,https://www.polaron.ai/
Poppins,poppins,none,none:no-developer-program,"Poppins ships a CE-marked consumer/clinical mobile app and nothing developer-facing — the sitemap's ~200 URLs contain no /developers, /api or /docs path, no api./developer./docs. poppins.io subdomain resolves, and the customer app's own backend is an undocumented private AWS API Gateway stage (le2svivnk3.execute-api.eu-west-3.amazonaws.com/public-paid/*) reached only from the SPA, not a published API.",ai-data,active,https://www.poppins.io/
Powder,powder,none,none:defunct,"Powder shipped only a consumer Windows desktop clipping app with no public API, portal or SDK, and the company has since wound down — its apex host powder.gg now 301-redirects every path, including /openapi.json and every /.well-known/ path, to a first-party notice saying the app is no longer updated or maintained.",gaming,active,https://powder.gg/
Prestashop,prestashop,programmable,published-contract,,marketplace,acquired,http://www.prestashop.com/
Pretto,pretto,undisclosed,gated:customer-only-docs,"Pretto's API reference route exists at https://api.pretto.fr/api-docs but is protected by HTTP Basic auth (401), and the developers.pretto.fr ReadMe hub 302s to /inactive and then 401s — while sibling paths on the same API host return 404, so the gate is real and the contract is issued only to Pretto Galaxie broker partners under agreement, never published.",fintech-insurtech,active,https://www.pretto.fr/
Prixtel,prixtel,none,none:no-developer-program,"Prixtel is a retail MVNO that sells flexible mobile subscriptions to human consumers and ships software only as an end-user phone app — there is no /developpeurs, /developers, /api or /docs page, no GitHub organization (api.github.com/orgs/prixtel is 404), and zero first-party packages across nine registries; api.prixtel.com resolves to a live nginx origin that serves the mobile app but answers 404 on its root and on every spec, GraphQL, MCP and well-known path probed against it.",consumer,exited,https://www.prixtel.com/
Probabl,probabl,programmable,published-contract,,open-source,active,https://probabl.ai/
PyannoteAI,pyannoteai,programmable,published-contract,,ai-data,active,https://pyannote.ai/
Qualtera,qualtera,none,none:defunct,"Qualtera was absorbed into Synopsys in June 2020; qualtera.com is now delegated to Synopsys nameservers and 301-redirects every path — including /.well-known/agent-card.json, /openapi.json and /llms.txt — to the Synopsys Silicon Lifecycle Management page, while https://qualtera.com refuses the TLS handshake, so no Qualtera-owned surface remains to read.",ai-data,acquired,https://www.qualtera.com/
Quandela,quandela,programmable,published-contract,,quantum,active,https://www.quandela.com/
Quantilia,quantilia,undisclosed,gated:customer-only-docs,"Quantilia markets API delivery (""Output as files, dashboards, or API feeds for downstream systems"") and runs a live API host at api.quantilia.com, but that host answers HTTP 403 Forbidden from nginx to every unauthenticated request including ""/"", and the 48-page public sitemap contains no developer portal, API reference or specification of any kind — the contract is only reachable with a signed client agreement.",ai-data,exited,https://www.quantilia.com/
Rainbow,riverse,undisclosed,gated:customer-only-docs,"Rainbow's own published fee schedule confirms an API exists — ""Rainbow does not charge additional costs for retirement, transfers or API connections"" — but the connection is only available to Arc/Registry account holders and not one of the 163 public documentation pages describes an endpoint, base URL, auth model or spec.",climate-tech,active,https://www.rainbowstandard.io/
Roofline,roofline,undisclosed,gated:sales-gate,"All three Roofline products — SDK, Runtime and Performance Dashboard — end at the same sentence, ""Just reach out through our Contact Us form"", and the only ""view docs"" link on those pages resolves to github.com/RooflineAI, an org whose own profile README disclaims its repos as ""not a Roofline AI product"".",ai-data,active,https://www.roofline.ai/
RSI Video Technologies,rsi-video-technologies,none,none:defunct,"videofied.com is no longer a company site - it is a bare Azure App Service redirector (serving the Azure wildcard *.azurewebsites.net certificate, which does not even match the hostname) that 301s the brand's old marketing paths into resideo.com and honeywellhome.com and 404s everything else, while www.videofied.com and rsivideotech.com return NXDOMAIN and rsivideo.com is a parked lander; Honeywell bought RSI Video Technologies in March 2016 and the Videofied line now belongs to Resideo, so there is no RSI-operated developer surface left to read.",unknown,acquired,https://www.videofied.com/
Santé Académie,santeacademie,programmable,published-contract,,edtech,active,http://www.santeacademie.com/
SantéVet,santevet,programmable,published-contract,,consumer,acquired,https://www.santevet.com/
Sarus,sarus,programmable,published-contract,,ai-data,active,https://sarus.tech/
Seiza,seiza,none,none:defunct,"Seiza was acquired by Adzuna on 2024-11-18 and has now been fully decommissioned rather than redirected — seiza.co holds a live registration to 2027 but its GoDaddy delegation answers REFUSED, so the apex, www, api, docs and app hosts all return SERVFAIL and no HTTP connection can be opened; the profile's inherited seiza.fr URL is an unrelated GoDaddy Website Builder page (""Find Your Zen"") whose only machine-readable file is a GoDaddy-generated llms.txt, and while the real site was live it published 23 pre-built ATS connectors with bespoke integrations routed through sales but never a public API, developer portal or specification of any kind.",saas,acquired,https://seiza.fr/
Selectron,selectron,none,none:no-developer-program,"Selectron builds embedded rail control software that runs on its own on-vehicle hardware and ships its engineering toolchain (Symphony Suite) as licensed Windows desktop applications downloaded from the login-gated Cockpit portal — there is no web API, developer portal or machine-readable contract anywhere on selectron.ch, and api./developer./docs.selectron.ch do not resolve.",unknown,acquired,https://www.selectron.ch/de/index.php
Sequans,sequans,programmable,agent-surface-only,,unknown,ipo,http://www.sequans.com/
Shadow,shadow,undisclosed,api-listed-no-contract,,ai-data,acquired,https://shadow.tech/
Silvr,silvr,none,none:defunct,"Silvr Groupe SAS declared cessation of payments in June 2025 and on 2 December 2025 the Nanterre court awarded Karmen the takeover of all its assets bar the non-performing loan portfolio, so silvr.co is now a Webflow marketing archive whose apply and login buttons redirect to app.karmen.io; the embedded-finance partner API it once marketed never had a public reference and every spec, /.well-known and developer-host probe returns 404 or NXDOMAIN.",fintech-insurtech,exited,https://silvr.co/
Switstack,switstack,programmable,published-contract,,fintech-insurtech,active,https://www.switstack.io/
TextMaster,textmaster,programmable,contract-and-agent-surface,,saas,acquired,https://fr.textmaster.com/
TVTY,tvty,none,none:defunct,"TVTY was acquired by Nielsen in July 2021 and absorbed into its TV attribution business; tvty.tv still resolves and is renewed through MarkMonitor, but nothing listens on port 80 or 443, no www/api/docs/developer subdomain resolves, and the Internet Archive's last successful capture is 2023-06-08 before the host began 301-redirecting to an unrelated domain.",unknown,acquired,http://www.tvty.tv/
Underdog,underdog,programmable,contract-and-agent-surface,,climate-tech,active,https://underdog.shop/
Uniphore,uniphore,programmable,published-contract,,ai-data,active,https://www.uniphore.com/
Uptime,uptime,none,none:defunct,"Uptime SAS was put into liquidation judiciaire by the Paris Commercial Court on 2022-10-20 with a plan de cession to SAS Otis, and its uptime.ac domain has since lapsed — every path, including /openapi.json and /.well-known/*, now 301-redirects to https://www.investwithcoin.com/how-it-works/ and on to an unrelated gambling site, so the prior common[] Website pointer to www.uptime.ac was removed rather than left pointing at a third party's server.",ai-data,exited,https://www.uptime.ac/
Vekia,vekia,none,none:no-developer-program,"Vekia sells Vekia Engine as an enterprise supply-chain platform that its own team wires into a customer's ERP, and publishes no developer program at all — api.vekia.fr, docs.vekia.fr and developer.vekia.fr do not resolve, /developers and /api return the site 404, and the only machine-readable surfaces on www.vekia.fr are its WordPress REST namespace and an OAuth-gated WordPress MCP endpoint, neither of which is the product API.",ai-data,acquired,https://www.vekia.fr/
Waiv,waiv,unmeasured,never-enriched,,ai-data,active,https://wearewaiv.com/
Wazo,wazo,programmable,published-contract,,saas,active,https://wazo.io/
Wecasa,wecasa,unmeasured,never-enriched,,consumer,active,https://www.wecasa.fr/
